SUBDIVISION,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JAN-FEB,MAR-MAY,JUN-SEP,OCT-DEC,REGION
Andaman & Nicobar Islands,54.382142857142846,27.68571428571429,31.59454545454545,71.91636363636367,354.82972972972976,470.08363636363646,399.0472727272727,398.6136363636364,440.3825688073395,289.98909090909086,233.01818181818177,157.46697247706425,2926.3735849056598,82.06785714285715,459.41926605504574,1703.7082568807343,678.7596330275228,HEAVY
Arunachal Pradesh,46.716326530612214,90.88367346938776,153.97216494845358,265.38787878787883,356.69393939393956,641.8173469387757,691.1653061224491,491.30707070707075,432.0050505050504,194.79381443298965,35.149484536082475,24.079381443298967,3403.9591397849463,137.60204081632654,777.8103092783502,2258.214432989692,253.64895833333344,HEAVY
Assam & Meghalaya,16.860683760683763,31.363247863247864,79.22136752136751,205.10256410256403,340.8495726495726,508.74188034188023,494.56581196581214,403.3897435897436,310.69316239316237,152.4974358974359,26.89230769230769,8.955555555555554,2579.133333333334,48.22051282051281,625.1794871794871,1717.3888888888898,188.35384615384615,HEAVY
Bihar,13.242735042735042,14.152991452991452,10.194017094017095,16.84871794871796,53.57350427350427,173.15897435897443,325.1888888888888,298.7401709401709,217.83504273504263,62.94444444444446,7.055555555555555,3.631623931623933,1196.5632478632476,27.39230769230769,80.6188034188034,1014.9239316239317,73.63846153846153,MODERATE
Chhattisgarh,14.023931623931615,18.966666666666654,15.245299145299144,16.53076923076924,20.989743589743586,197.85982905982905,398.082905982906,388.82820512820484,218.10256410256412,63.78034188034188,11.572649572649572,5.158974358974359,1369.1367521367529,32.988034188034185,52.76837606837607,1202.8769230769237,80.50598290598288,MODERATE
Coastal Andhra Pradesh,7.37777777777778,12.71025641025641,13.132478632478636,26.384615384615383,62.77606837606837,124.47435897435902,173.2863247863248,175.89572649572648,181.73162393162394,183.90170940170938,77.08290598290603,11.550427350427352,1050.3042735042734,20.08547008547008,102.29658119658117,655.3803418803421,272.53589743589754,MODERATE
Coastal Karnataka,1.9181034482758623,1.4923076923076928,6.271794871794872,30.501709401709395,122.59743589743591,842.2820512820514,1121.2948717948716,710.7914529914531,299.16581196581194,183.6461538461539,62.80940170940172,12.508547008547005,3397.637931034483,3.326724137931035,159.36068376068377,2973.528205128205,258.96581196581195,HEAVY
East Madhya Pradesh,19.282051282051274,18.449572649572644,13.57179487179486,7.066666666666671,9.364957264957269,140.48205128205126,372.7735042735042,368.5367521367522,193.3401709401709,39.41623931623933,12.494017094017094,8.260683760683763,1203.0350427350434,37.73076923076925,30.0008547008547,1075.136752136752,60.175213675213676,MODERATE
East Rajasthan,6.389743589743589,5.32820512820513,4.518803418803418,3.0965811965811953,9.862393162393158,63.611111111111114,224.8247863247862,219.01538461538453,97.04358974358973,14.394017094017087,4.794017094017094,3.617948717948719,656.5017094017094,11.715384615384616,17.484615384615378,604.4905982905981,22.80769230769231,LOW
East Uttar Pradesh,15.866666666666651,15.614529914529903,8.873504273504272,6.337606837606836,17.473504273504275,109.91282051282049,291.30256410256396,274.402564102564,183.45213675213677,42.43418803418805,4.511965811965814,5.677777777777777,975.8649572649574,31.482905982905976,32.689743589743586,859.0700854700855,52.62991452991452,LOW
Gangetic West Bengal,12.476923076923082,22.39230769230769,29.019658119658125,44.38803418803419,107.81025641025641,246.10256410256423,327.84102564102557,311.8820512820511,245.14358974358973,116.28888888888893,21.56153846153846,5.712820512820514,1490.6128205128207,34.86410256410257,181.22051282051288,1130.9598290598285,143.56581196581195,MODERATE
Gujarat Region,1.7555555555555549,1.17094017094017,1.2051282051282042,1.0974358974358966,5.715384615384613,120.65982905982906,350.3829059829059,258.8957264957264,147.77179487179487,20.91794871794871,6.810256410256411,1.41025641025641,917.8273504273501,2.926495726495728,8.032478632478634,877.7222222222222,29.141025641025653,LOW
Haryana Delhi & Chandigarh,16.89316239316239,17.14786324786325,12.952991452991458,7.545299145299146,14.601709401709396,49.13675213675211,149.40854700854698,150.05299145299148,87.71452991452989,12.648717948717955,3.2239316239316254,7.107692307692309,528.4393162393162,34.049572649572646,35.109401709401716,436.30940170940175,22.976923076923075,LOW
Himachal Pradesh,84.25726495726498,90.06495726495729,100.88547008547005,62.5196581196581,58.2923076923077,91.57948717948716,278.9982905982906,273.9153846153846,129.36239316239315,30.791452991453003,16.469230769230773,39.64017094017091,1256.781196581197,174.32222222222222,221.69230769230774,773.8623931623939,86.90512820512824,MODERATE
